仓库名称,仓库概述,仓库地址
Shenzhi Wang/Llama3-8B-Chinese-Chat,LLama3中文大模型,https://gitee.com/shenzhi-wang/Llama3-8B-Chinese-Chat.git
IYque/企微scrm活码-iCode,企微scrm增加版活码-iCode是一款基于企业微信开放API开发的活码应用工具。为用户提供更强大、更丰富的功能企微活码功能体验。,https://gitee.com/iyque/iYqueCode.git
aizuda/zlm4j,🔥🔥🔥开源流媒体框架ZLMediaKitCAPIJAVA实现，打造属于自己的流媒体服务,https://gitee.com/aizuda/zlm4j.git
不如摸鱼去/wot-design-uni,WotDesignUni是一个基于Vue3+TS开发的uni-app组件库，提供70+高质量组件，支持暗黑模式和自定义主题。,https://gitee.com/wot-design-uni/wot-design-uni.git
dromara/orion-visor,一款高颜值、现代化的智能运维&轻量堡垒机平台。,https://gitee.com/dromara/orion-visor.git
tl-open-source/tl-rtc-file,"WebRTCP2Ponlinewebmediastreamingtool(forfiles,video,screen,livestreaming,text,etc.)withmanagementandstatisticalmonitoringcapabilities",https://gitee.com/tl-open-source/tl-rtc-file.git
广东威人/springboot-btc-eth-trx,微服务架构springboot+web3j实现区块链（BTC链，ETH链，币安链，波场链）操作（生成地址，转账，扫块）等功能。开箱即用，例子完善,https://gitee.com/Linriqiang/springboot-btc-eth-trx.git
dromara/warm-flow,🎉国产工作流引擎，其特点简洁(只有6张表)但又不简单，五脏俱全，组件独立，可扩展，可满足中小项目的组件。,https://gitee.com/dromara/warm-flow.git
成宇佳/GrapeOS,GrapeOS操作系统完整源码。,https://gitee.com/jackchengyujia/grapeos.git
一只会思考的猪/minio-plus,MinIO-Plus是一个MinIO的二次封装与增强工具，在MinIO的基础上只做增强，不侵入MinIO代码，只为简化开发、提高效率而生。成为MinIO在项目中落地的润滑剂。,https://gitee.com/lxp135/minio-plus.git
sAGiTTaR/thru,QUIC加密通道，支持TCP/UDP,https://gitee.com/sagittar/thru.git
祝威廉/byzer-lang,"Byzer(formerMLSQL)isalow-code,open-sourcedanddistributedprogramminglanguagefordatapipeline,analyticsandAIincloudnativeway.",https://gitee.com/allwefantasy/byzer-lang.git
RubyMetric/chsrc,chsrc全平台通用换源工具.ChangeSourceforeverysoftwareoneveryplatformfromthecommandline.,https://gitee.com/RubyMetric/chsrc.git
vimiix/ssx,🦅ssxisaretentivesshclient.,https://gitee.com/vimiix/ssx.git
AI-IoTDB/openGemini,openGemini是一个开源的云原生时间序列数据库（TSDB），可广泛应用于物联网、车联网（IoV）、运维监控和工业互联网场景。它由华为云开发，具有出色的读写性能和高效的数据分析能力。它使用类似SQL的查询语言，不依赖第三方软件，并且易于安装，部署和维护。,https://gitee.com/ai-iotdb/openGemini.git
codefuse-ai/codefuse-chatbot,本项目是一个开源的AI智能助手，专为软件开发的全生命周期而设计，涵盖设计、编码、测试、部署和运维等阶段。,https://gitee.com/codefuse-ai/codefuse-chatbot.git
lishanwen/sgl,SGL(SmallGraphicsLibrary)是一种轻量快速的图形库，该库旨在为MCU级别的处理器提供一美观轻量的GUI（GraphicsUserInterface).,https://gitee.com/li-shan-asked/sgl.git
OpenGeometry 开源社区/OGG,OGG代码仓库已创建完成（目前Fork自OCCT），欢迎广大开发者提交代码。OGG1.0目前正在公测招募中，请移步官网参与申请,https://gitee.com/opengeometry/OGG.git
NEVSTOP-LAB/Communicable-State-Machine,可通信状态机（CSM）是一个基于JKI状态机（JKISM）的LabVIEW应用框架。它遵循JKISM的模式，扩展了关键词以描述模块之间的消息通信，包括同步消息、异步消息、状态订阅/取消订阅等概念,https://gitee.com/NEVSTOP-LAB/Communicable-State-Machine.git
openEuler/compass-ci,"Compass-CI是一个可持续集成的开源软件平台。为开发者提供针对上游开源软件（来自Github,Gitee,Gitlab等托管平台）的测试服务、登录服务、故障辅助定界服务和基于历史数据的分析服务。",https://gitee.com/openeuler/compass-ci.git
aixcoder-model/aixcoder-7b,aiXcoder7B代码大型语言模型的官方仓库,https://gitee.com/aixcoder-model/aixcoder-7b.git
dromara/MilvusPlus,🔥🔥🔥使用MyBatisPlus的方式，优雅的操作向量数据库Milvus,https://gitee.com/dromara/MilvusPlus.git
飞龙/feilong,"让Java开发更简便的工具库Reducedevelopment,Releaseideas(灵感从重复简单的代码中释放出来)",https://gitee.com/ifeilong/feilong.git
kercylan98/minotaur,minotaurisadevelopmentframeworkmainlyusedforgameserverminotaur一个主要用于游戏服务器的开发框架,https://gitee.com/kercylan98/minotaur.git
深圳高通半导体有限公司/GT-HMI-Engine,GT-HMI：专为国内嵌入式GUI设计开发打造的免费神器！,https://gitee.com/genitop/GT-HMI-Engine.git
Ascend/MindSpeed,昇腾大模型加速库,https://gitee.com/ascend/MindSpeed.git
ArexTest/arex-agent-java,AREXauto-instrumentationforJava.,https://gitee.com/arextest/arex-agent-java.git
小诺/Snowy,最新：💖国内首个国密前后分离快速开发平台💖，采用Vue3+AntDesignVue4+Vite5+SpringBoot3+Mp+HuTool+SaToken。集成国密加解密插件，在前后分离框架中，实现前后分离“密”不可分；同时实现国产化机型、中间件、数据库适配，是您的不二之选；最后官网提供工作流、多租户、多数据源、Vue3表单设计器等丰富插件灵活使用。,https://gitee.com/xiaonuobase/snowy.git
Shenzhi Wang/Llama3-70B-Chinese-Chat,🔥🔥🔥首批Llama370B中文大模型，在C-Eval和CMMLU的表现超过了ChatGPT，与GPT-4持平。,https://gitee.com/shenzhi-wang/llama3-70b-chinese-chat.git
Gtr/SparkDesk-Java,讯飞星火大模型JavaSDK易开发，更灵活.XunfeiSparkDeskJavaSDK.SparkDesk.xfyunSDK.xinghuo.星火.,https://gitee.com/grt1228/SparkDesk-Java.git
freeeyes/PSS_ASIO,"基于ASIO的插件式服务器，支持TCP,UDP,串口，Http,Websocket，统一化的数据接口，隔离开发人员和IO之间的操作。可以快速迭代。",https://gitee.com/freeeyes/PSS_ASIO.git
AvenirTech 未来科技/Chessmate,开源免费的国际象棋学习软件，具备分析、对局、开局库、数据库、棋书解读功能。,https://gitee.com/onlyyyy/chessmate.git
Tele-AI/TeleChat,星辰语义大模型TeleChat是由中电信人工智能科技有限公司研发训练的大语言模型,https://gitee.com/Tele-AI/tele-chat.git
wu-clan/httpfpt,python3+pytest+parametrize+requests/httpx+yaml+allure+redis+mysql+pydantic+log+飞书/钉钉/企微/邮箱通知...低代码数据驱动接口自动化测试框架,https://gitee.com/wu_clan/httpfpt.git
